2011 National Household Survey Data on the Labour Market Outcomes of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,OCCUPATION,TOTAL_LABOUR FORCE,IN_THE LABOUR FORCE,EMPLOYED,UNEMPLOYED,NOT_IN_THE LABOUR FORCE,Employment_rate%,Unemployment rate%,Out_of_Labour_Force%,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,8251 Farmers and farm managers,1230,1230,1230,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,2225 Landscape and horticultural technicians and specialists,430,410,390,0,0,0.91,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,8612 Landscaping and grounds maintenance labourers,370,365,320,40,0,0.86,0.11,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,8431 General farm workers,355,335,310,25,20,0.87,0.07,0.06,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,6421 Retail salespersons and sales clerks,255,235,225,0,20,0.88,0.00,0.08,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,3213 Veterinary and animal health technologists and technicians,215,210,215,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"8255 Landscaping and grounds maintenance contractors and managers/8256 Supervisors, landscape and horticulture",200,195,195,0,0,0.98,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,7411 Truck drivers,120,120,60,0,0,0.50,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,0621 Retail trade managers,100,105,65,0,0,0.65,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"6663 Janitors, caretakers and building superintendents",100,100,85,0,0,0.85,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,8252 Agricultural and related service contractors and managers/8253 Farm supervisors and specialized livestock workers,90,90,90,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,1221 Administrative officers,85,85,80,0,0,0.94,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,2211 Chemical technologists and technicians,85,80,75,0,0,0.88,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,7312 Heavy-duty equipment mechanics,80,80,75,0,0,0.94,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,1411 General office clerks,75,75,65,0,0,0.87,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,6483 Pet groomers and animal care workers,75,75,70,0,0,0.93,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"6641 Food counter attendants, kitchen helpers and related occupations",75,75,70,0,0,0.93,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,2221 Biological technologists and technicians,70,70,65,0,0,0.93,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,4212 Community and social service workers,65,60,60,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"6411 Sales representatives, wholesale trade (non-technical)",60,50,50,0,0,0.83,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,1231 Bookkeepers,55,50,50,0,0,0.91,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"2123 Agricultural representatives, consultants and specialists",55,55,50,0,0,0.91,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,2222 Agricultural and fish products inspectors,55,55,55,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,7414 Delivery and courier service drivers,55,50,55,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"9461 Process control and machine operators, food and beverage processing/9464 Tobacco processing machine operators",55,55,50,0,0,0.91,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,0721 Facility operation and maintenance managers,50,45,45,0,0,0.90,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,7383 Other trades and related occupations/7382 Commercial divers/7266 Blacksmiths and die setters,50,50,50,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,6611 Cashiers,45,45,45,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"6471 Visiting homemakers, housekeepers and related occupations",40,40,25,0,0,0.63,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,7271 Carpenters,40,40,35,0,0,0.88,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,7311 Construction millwrights and industrial mechanics (except textile)/7317 Textile machinery mechanics and repairers,40,40,40,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,7611 Construction trades helpers and labourers,40,40,40,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,1241 Secretaries (except legal and medical),35,35,35,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,1414 Receptionists and switchboard operators/1424 Telephone operators,35,25,25,0,0,0.71,0.00,0.00,,
