2011 National Household Survey Data on the Labour Market Outcomes of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,OCCUPATION,TOTAL_LABOUR FORCE,IN_THE LABOUR FORCE,EMPLOYED,UNEMPLOYED,NOT_IN_THE LABOUR FORCE,Employment_rate%,Unemployment rate%,Out_of_Labour_Force%,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,1112 Financial and investment analysts,15,15,20,0,0,1.33,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,2223 Forestry technologists and technicians,15,15,0,0,0,0.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,3212 Medical laboratory technicians,15,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6462 Correctional service officers,15,20,20,0,0,1.33,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7334 Motorcycle and other related mechanics,15,15,10,0,0,0.67,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7383 Other trades and related occupations/7382 Commercial divers/7266 Blacksmiths and die setters,15,15,0,0,0,0.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,9233 Pulping control operators/9234 Papermaking and coating control operators,15,15,15,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,4211 Paralegal and related occupations,10,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,"5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",10,10,10,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,6472 Elementary and secondary school teacher assistants,10,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Architecture, engineering, and related technologies",FOS104,7362 Railway conductors and brakemen,10,10,10,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,Total - Occupation (2006 NOC - HRSDC),9450,8685,8185,495,765,0.87,0.06,0.08,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,5241 Graphic designers and illustrators,750,745,695,50,0,0.93,0.07,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,5225 Audio and video recording technicians,585,570,560,0,10,0.96,0.00,0.02,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,"5131 Producers, directors, choreographers and related occupations",430,425,415,0,0,0.97,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,6421 Retail salespersons and sales clerks,425,360,355,0,65,0.84,0.00,0.15,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,2174 Computer programmers and interactive media developers,325,320,275,40,0,0.85,0.13,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,"0611 Sales, marketing and advertising managers",190,190,195,0,0,1.03,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,0621 Retail trade managers,175,170,170,0,0,0.97,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,5231 Announcers and other broadcasters,175,165,165,0,0,0.94,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,5223 Graphic arts technicians,165,160,150,0,0,0.91,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,"5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",160,160,155,0,0,0.97,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,"1453 Customer service, information and related clerks",150,135,120,0,0,0.80,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,5222 Film and video camera operators,145,140,140,0,0,0.97,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,5224 Broadcast technicians,140,135,135,0,0,0.96,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,"6411 Sales representatives, wholesale trade (non-technical)",115,115,105,0,0,0.91,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,6453 Food and beverage servers,115,95,85,15,0,0.74,0.16,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,4131 College and other vocational instructors,110,110,105,0,0,0.95,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,"6641 Food counter attendants, kitchen helpers and related occupations",105,95,85,0,15,0.81,0.00,0.14,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,6242 Cooks,100,100,95,0,0,0.95,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,5124 Professional occupations in public relations and communications,95,95,95,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,6651 Security guards and related occupations/6465 Other protective service occupations,95,85,85,0,0,0.89,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,1221 Administrative officers,90,85,85,0,0,0.94,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,4163 Business development officers and marketing researchers and consultants,90,85,90,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,"5227 Support occupations in motion pictures, broadcasting and the performing arts",90,95,90,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,1411 General office clerks,80,80,80,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,2175 Web designers and developers,80,70,70,0,0,0.88,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,2281 Computer network technicians,75,70,65,0,0,0.87,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,5121 Authors and writers,75,75,75,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,7452 Material handlers,75,65,60,0,0,0.80,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,6611 Cashiers,70,70,70,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,5123 Journalists,65,65,65,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,5133 Musicians and singers,65,60,60,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,1471 Shippers and receivers,60,60,50,0,0,0.83,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,2171 Information systems analysts and consultants,60,60,55,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,6261 Police officers (except commissioned),60,55,60,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,6622 Grocery clerks and store shelf stockers,60,55,55,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,7414 Delivery and courier service drivers,60,60,65,0,0,1.08,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,7611 Construction trades helpers and labourers,60,55,60,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,2241 Electrical and electronics engineering technologists and technicians,55,50,55,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,8612 Landscaping and grounds maintenance labourers,55,55,50,0,0,0.91,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,2253 Drafting technologists and technicians,50,50,45,0,0,0.90,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,6211 Retail trade supervisors,50,45,50,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,"6663 Janitors, caretakers and building superintendents",50,30,30,0,0,0.60,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,7246 Telecommunications installation and repair workers,50,50,50,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,"1434 Banking, insurance and other financial clerks",45,45,45,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,"3413 Nurse aides, orderlies and patient service associates",45,45,0,0,0,0.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,5211 Library and archive technicians and assistants,45,50,50,0,0,1.11,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,"9472 Camera, platemaking and other pre-press occupations",45,40,40,0,0,0.89,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and graphic communications technology/technician,FOS1145,1414 Receptionists and switchboard operators/1424 Telephone operators,40,40,40,0,0,1.00,0.00,0.00,,
