"2013 National Graduates Survey (Class of 2009/2010) - Number of employed graduates, by educational information and extent to which their job was related to their certificate, diploma or degree",,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,FIELD_OF_STUDY,FIELD_OF_STUDY_CODE,RELATION_BETWEEN_GRADUATES_FIELD_OF_STUDY_AND_CURRENT_JOB,RELATION_BETWEEN_GRADUATES_FIELD_OF_STUDY_AND_CURRENT_JOB_CODE,COUNTS,Percent
Master's degree,LOS070,"Design, music, performing, fine and applied arts ",FOS208,Not related at all,JFOS03,85,0.1631
Master's degree,LOS070,"Design, music, performing, fine and applied arts ",FOS208,Total,JFOS0,521,1.00
Master's degree,LOS070,"Health parks, recreation and fitness ",FOS209,Closely related,JFOS01,2900,0.7865
Master's degree,LOS070,"Health parks, recreation and fitness ",FOS209,Somewhat related,JFOS02,509,0.1381
Master's degree,LOS070,"Health parks, recreation and fitness ",FOS209,Not related at all,JFOS03,0,0.0000
Master's degree,LOS070,"Health parks, recreation and fitness ",FOS209,Total,JFOS0,3687,1.00
Master's degree,LOS070,"Business, management, marketing and related support services ",FOS210,Closely related,JFOS01,5874,0.7010
Master's degree,LOS070,"Business, management, marketing and related support services ",FOS210,Somewhat related,JFOS02,1946,0.2322
Master's degree,LOS070,"Business, management, marketing and related support services ",FOS210,Not related at all,JFOS03,0,0.0000
Master's degree,LOS070,"Business, management, marketing and related support services ",FOS210,Total,JFOS0,8379,1.00
Master's degree,LOS070,Total,FOS2,Closely related,JFOS01,19304,0.6815
Master's degree,LOS070,Total,FOS2,Somewhat related,JFOS02,6475,0.2286
Master's degree,LOS070,Total,FOS2,Not related at all,JFOS03,2546,0.0899
Master's degree,LOS070,Total,FOS2,Total,JFOS0,28325,1.00
