"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"1795387799","09/15/15","NanYang China Qualifiers","DK","DB 2","RADIANT","Group Stage","1","22.82","23 - 7"
"1795274968","09/15/15","NanYang China Qualifiers","CDEC.Y","FTD.A","RADIANT","Group Stage","1","32.62","22 - 5"
"1795274543","09/15/15","NanYang China Qualifiers","FTD.B","DB 2","RADIANT","Group Stage","1","29.35","22 - 7"
"1794981434","09/15/15","NanYang China Qualifiers","VG.P","Bheart","RADIANT","Group Stage","1","57.63","36 - 31"
"1794981268","09/15/15","NanYang China Qualifiers","EHOME.K","Newbee.Y","DIRE","Group Stage","1","39.28","6 - 26"
"1794460057","09/14/15","ESL One NY 2015 Americas Qualifiers","Fire","ROOT 2","RADIANT","Quarterfinals","2","37.60","32 - 17"
"1794414154","09/14/15","ESL One NY 2015 Americas Qualifiers","ROOT 2","Fire","DIRE","Quarterfinals","1","39.72","21 - 29"
"1794349354","09/14/15","The Defense 5 Qualifiers","OG","CL","DIRE","Group Stage","2","56.32","31 - 44"
"1794319838","09/14/15","ESL One NY 2015 Americas Qualifiers","C9","DC","DIRE","Quarterfinals","2","62.12","14 - 34"
"1794276233","09/14/15","The Defense 5 Qualifiers","CL","OG","DIRE","Group Stage","1","47.03","26 - 45"
"1794233963","09/14/15","ESL One NY 2015 Americas Qualifiers","DC","C9","RADIANT","Quarterfinals","1","43.07","27 - 14"
"1794164464","09/14/15","The Defense 5 Qualifiers","Power Rangers","CL","RADIANT","Group Stage","2","53.73","35 - 32"
"1794044272","09/14/15","The Defense 5 Qualifiers","CL","Power Rangers","RADIANT","Group Stage","1","40.70","26 - 26"
"1792269484","09/13/15","ESL One NY 2015 Americas Qualifiers","LvT","Boreal 2","DIRE","Round of 16","3","62.03","39 - 55"
"1792255339","09/13/15","NanYang Americas Qualifiers","C9","DC","RADIANT","Finals","3","48.60","18 - 17"
"1792222053","09/13/15","ESL One NY 2015 Americas Qualifiers","LvT","Boreal 2","RADIANT","Round of 16","2","34.52","33 - 12"
"1792190034","09/13/15","NanYang Americas Qualifiers","DC","C9","DIRE","Finals","2","48.55","16 - 45"
"1792180572","09/13/15","ESL One NY 2015 Americas Qualifiers","Boreal 2","LvT","RADIANT","Round of 16","1","31.37","19 - 5"
"1792127858","09/13/15","NanYang Americas Qualifiers","C9","DC","RADIANT","Finals","1","47.87","28 - 20"
"1792066185","09/13/15","ESL One NY 2015 Americas Qualifiers","bS","BRO","RADIANT","Round of 16","2","26.68","29 - 8"
"1791982897","09/13/15","ESL One NY 2015 Americas Qualifiers","BRO","bS","DIRE","Round of 16","1","36.88","18 - 27"
"1789710700","09/12/15","NanYang Americas Qualifiers","Fire","DC","DIRE","LB Finals","3","41.80","16 - 22"
"1789605001","09/12/15","NanYang Americas Qualifiers","DC","Fire","RADIANT","LB Finals","2","44.77","38 - 19"
"1789521946","09/12/15","ESL One NY 2015 Americas Qualifiers","NBM","ROOT 2","DIRE","Round of 16","2","80.07","38 - 49"
"1789503761","09/12/15","NanYang Americas Qualifiers","Fire","DC","RADIANT","LB Finals","1","59.03","49 - 27"
"1789438612","09/12/15","ESL One NY 2015 Americas Qualifiers","ROOT 2","NBM","RADIANT","Round of 16","1","40.33","21 - 17"
"1789363489","09/12/15","NanYang Americas Qualifiers","Fire","ROOT 2","RADIANT","LB Semifinals","2","37.48","27 - 14"
"1789304000","09/12/15","NanYang Americas Qualifiers","Fire","ROOT 2","RADIANT","LB Semifinals","1","27.10","24 - 9"
"1789248051","09/12/15","ESL One NY 2015 Americas Qualifiers","paiN","C9","DIRE","Round of 16","2","50.98","31 - 28"
"1789141995","09/12/15","ESL One NY 2015 Americas Qualifiers","C9","paiN","RADIANT","Round of 16","1","48.42","29 - 12"
"1786852474","09/11/15","NanYang Americas Qualifiers","C9","DC","RADIANT","UB Semifinals","2","54.35","34 - 12"
"1786721931","09/11/15","NanYang Americas Qualifiers","C9","DC","RADIANT","UB Semifinals","1","71.45","27 - 26"
"1786648232","09/11/15","NanYang Americas Qualifiers","Fire","Sector V","RADIANT","LB Quarterfinals","1","32.52","35 - 17"
