"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"2090544996","01/19/16","WePlay 3 EU Qualifiers","COOKISS","LC","DIRE","","","27.58","8 - 20"
"2123693654","02/02/16","Uprise Champions Cup Special","YeS 2","ATN","DIRE","","","27.68","12 - 34"
"2173864093","02/23/16","WePlay 3 EU Qualifiers","COOKISS","PRIES 2","RADIANT","","","27.70","35 - 10"
"2171050071","02/22/16","WePlay 3 EU Qualifiers","FF","PD 2","RADIANT","","","27.75","27 - 11"
"2142836969","02/10/16","ESL One Americas Qualifiers","Infamous 2","coL 2","DIRE","","","27.78","18 - 26"
"2099425092","01/23/16","WePlay 3 EU Qualifiers","TSpirit","FF","RADIANT","","","27.82","28 - 12"
"2128484079","02/04/16","Dota Pit League Season 4","99","Vega","DIRE","","","27.85","10 - 25"
"2184275180","02/27/16","Shanghai Major Finals","Liquid","coL 2","RADIANT","","","27.90","25 - 5"
"2191757537","03/02/16","Shanghai Major Finals","Archon","EHOME","DIRE","","","27.92","9 - 29"
"2114243659","01/29/16","Canada Cup 6","Infamous 2","DC","RADIANT","","","27.92","21 - 17"
"2088860540","01/18/16","Canada Cup 6","E.Wolves","Infamous 2","RADIANT","UB Semifinals","2","28.10","32 - 14"
"2175448141","02/24/16","WePlay 3 SEA Qualifiers","Redeem","First Departure","RADIANT","","","28.12","26 - 10"
"2182565525","02/27/16","Shanghai Major Finals","LGD.cn","Nb","RADIANT","","","28.43","25 - 11"
"2184910779","02/28/16","Shanghai Major Finals","VP 2","Liquid","DIRE","","","28.48","8 - 27"
"2121160716","02/01/16","WePlay 3 EU Qualifiers","FF","Power Rangers","DIRE","","","28.62","9 - 26"
"2133087609","02/06/16","ProDota 2 National Cup","TR 2","TeamRO","DIRE","","","28.65","8 - 31"
"2128562199","02/04/16","WePlay 3 Americas Qualifiers","Infamous 2","DC","DIRE","","","28.67","7 - 22"
"2179222246","02/26/16","Shanghai Major Finals","VG","TSpirit","DIRE","","","28.72","10 - 24"
"2140574023","02/09/16","WePlay 3 EU Qualifiers","CHAMPLOO","PRIES 2","RADIANT","","","28.75","21 - 14"
"2121534597","02/01/16","Uprise Champions Cup Special","FF","NLG","RADIANT","","","28.75","23 - 15"
"2133116534","02/06/16","WePlay 3 EU Qualifiers","NaVi","Vega","DIRE","","","28.83","12 - 37"
"2106500686","01/26/16","WePlay 3 SEA Qualifiers","Taring","SiG.Tr","RADIANT","","","28.87","20 - 13"
"2159269568","02/17/16","WePlay 3 EU Qualifiers","PRIES 2","CHAMPLOO","DIRE","","","28.92","18 - 22"
"2156845846","02/16/16","ESL One EU Qualifiers","LC","Empire","DIRE","","","28.93","14 - 25"
"2097579074","01/22/16","WePlay 3 Americas Qualifiers","Archon","Shazam","RADIANT","","","29.02","28 - 16"
"2093961360","01/21/16","MarsTV League 2015 China Qualifiers","iG","DW","RADIANT","LB Round of 16","1","29.05","17 - 11"
"2145235732","02/11/16","ESL One Americas Qualifiers","Archon","PoF 2","DIRE","","","29.15","7 - 25"
"2197232058","03/04/16","Shanghai Major Finals","Fnatic.MY","OG","RADIANT","","","29.17","28 - 4"
"2138638290","02/08/16","Canada Cup 6","coL 2","E.Wolves","RADIANT","","","29.43","34 - 15"
"2157061866","02/16/16","WePlay 3 EU Qualifiers","TSpirit","Empire","RADIANT","","","29.62","32 - 8"
"2133174145","02/06/16","ESL One EU Qualifiers","HWA 2","Power Rangers","DIRE","","","29.62","8 - 17"
"2143029739","02/10/16","ESL One Americas Qualifiers","NME","DC","DIRE","","","29.68","5 - 25"
"2194260255","03/03/16","Shanghai Major Finals","Fnatic.MY","Nb","RADIANT","","","29.88","18 - 9"
"2095244332","01/21/16","Canada Cup 6","NoT","Archon","RADIANT","","","29.88","37 - 16"
"2090362811","01/19/16","Dota Pit League Season 4","4ASC","Power Rangers","DIRE","","","29.98","8 - 18"
